"filename", "language", "JSON", "C#", "Markdown", "UnityShader", "C++", "XML", "UnityUSS", "comment", "blank", "total"
"c:\Users\dwh88\Perforce\dengw3_Liyuu_1160\GSAS-2540-01-F24\users\dengw3\dengw3_2DplatformGame\BuddahGo\Assets\Adobe\Substance3DForUnity\Connector\Library\Adobe.Substance.Connector.asmdef", "JSON", -16, 0, 0, 0, 0, 0, 0, 0, 0, -16
"c:\Users\dwh88\Perforce\dengw3_Liyuu_1160\GSAS-2540-01-F24\users\dengw3\dengw3_2DplatformGame\BuddahGo\Assets\Adobe\Substance3DForUnity\Connector\Library\Scripts\ConvertUuid.cs", "C#", 0, -42, 0, 0, 0, 0, 0, -19, -12, -73
"c:\Users\dwh88\Perforce\dengw3_Liyuu_1160\GSAS-2540-01-F24\users\dengw3\dengw3_2DplatformGame\BuddahGo\Assets\Adobe\Substance3DForUnity\Connector\Library\Scripts\GUIDs.cs", "C#", 0, -10, 0, 0, 0, 0, 0, -9, -4, -23
"c:\Users\dwh88\Perforce\dengw3_Liyuu_1160\GSAS-2540-01-F24\users\dengw3\dengw3_2DplatformGame\BuddahGo\Assets\Adobe\Substance3DForUnity\Connector\Library\Scripts\ImportFileMessage.cs", "C#", 0, -23, 0, 0, 0, 0, 0, -3, -5, -31
"c:\Users\dwh88\Perforce\dengw3_Liyuu_1160\GSAS-2540-01-F24\users\dengw3\dengw3_2DplatformGame\BuddahGo\Assets\Adobe\Substance3DForUnity\Connector\Library\Scripts\Instance.cs", "C#", 0, -52, 0, 0, 0, 0, 0, -34, -17, -103
"c:\Users\dwh88\Perforce\dengw3_Liyuu_1160\GSAS-2540-01-F24\users\dengw3\dengw3_2DplatformGame\BuddahGo\Assets\Adobe\Substance3DForUnity\Connector\Library\Scripts\NativeMethods.cs", "C#", 0, -18, 0, 0, 0, 0, 0, -9, -6, -33
"c:\Users\dwh88\Perforce\dengw3_Liyuu_1160\GSAS-2540-01-F24\users\dengw3\dengw3_2DplatformGame\BuddahGo\Assets\Adobe\Substance3DForUnity\Connector\Library\Scripts\NativeUuidType.cs", "C#", 0, -10, 0, 0, 0, 0, 0, -6, -1, -17
"c:\Users\dwh88\Perforce\dengw3_Liyuu_1160\GSAS-2540-01-F24\users\dengw3\dengw3_2DplatformGame\BuddahGo\Assets\Adobe\Substance3DForUnity\Connector\Unity\Adobe.Substance.Connector.Unity.asmdef", "JSON", -20, 0, 0, 0, 0, 0, 0, 0, 0, -20
"c:\Users\dwh88\Perforce\dengw3_Liyuu_1160\GSAS-2540-01-F24\users\dengw3\dengw3_2DplatformGame\BuddahGo\Assets\Adobe\Substance3DForUnity\Connector\Unity\SubstanceLinkEditor.cs", "C#", 0, -152, 0, 0, 0, 0, 0, -2, -37, -191
"c:\Users\dwh88\Perforce\dengw3_Liyuu_1160\GSAS-2540-01-F24\users\dengw3\dengw3_2DplatformGame\BuddahGo\Assets\Adobe\Substance3DForUnity\Editor\Adobe.Substance.Editor.asmdef", "JSON", -19, 0, 0, 0, 0, 0, 0, 0, 0, -19
"c:\Users\dwh88\Perforce\dengw3_Liyuu_1160\GSAS-2540-01-F24\users\dengw3\dengw3_2DplatformGame\BuddahGo\Assets\Adobe\Substance3DForUnity\Editor\Scripts\Extensions\PhysicalSizeExtension.cs", "C#", 0, -14, 0, 0, 0, 0, 0, 0, -1, -15
"c:\Users\dwh88\Perforce\dengw3_Liyuu_1160\GSAS-2540-01-F24\users\dengw3\dengw3_2DplatformGame\BuddahGo\Assets\Adobe\Substance3DForUnity\Editor\Scripts\Extensions\SubstanceGraphSOExtensions.cs", "C#", 0, -129, 0, 0, 0, 0, 0, -30, -30, -189
"c:\Users\dwh88\Perforce\dengw3_Liyuu_1160\GSAS-2540-01-F24\users\dengw3\dengw3_2DplatformGame\BuddahGo\Assets\Adobe\Substance3DForUnity\Editor\Scripts\GUIContent\SubstanceInputGUIContent.cs", "C#", 0, -23, 0, 0, 0, 0, 0, -6, -4, -33
"c:\Users\dwh88\Perforce\dengw3_Liyuu_1160\GSAS-2540-01-F24\users\dengw3\dengw3_2DplatformGame\BuddahGo\Assets\Adobe\Substance3DForUnity\Editor\Scripts\GUIContent\SubstanceNumericalInputGUIContent.cs", "C#", 0, -137, 0, 0, 0, 0, 0, -24, -34, -195
"c:\Users\dwh88\Perforce\dengw3_Liyuu_1160\GSAS-2540-01-F24\users\dengw3\dengw3_2DplatformGame\BuddahGo\Assets\Adobe\Substance3DForUnity\Editor\Scripts\Importer\SubstanceImporter.cs", "C#", 0, -216, 0, 0, 0, 0, 0, -9, -57, -282
"c:\Users\dwh88\Perforce\dengw3_Liyuu_1160\GSAS-2540-01-F24\users\dengw3\dengw3_2DplatformGame\BuddahGo\Assets\Adobe\Substance3DForUnity\Editor\Scripts\Importer\SubstanceImporterEditor.cs", "C#", 0, -477, 0, 0, 0, 0, 0, -13, -141, -631
"c:\Users\dwh88\Perforce\dengw3_Liyuu_1160\GSAS-2540-01-F24\users\dengw3\dengw3_2DplatformGame\BuddahGo\Assets\Adobe\Substance3DForUnity\Editor\Scripts\Package\UnityPackageInfo.cs", "C#", 0, -89, 0, 0, 0, 0, 0, 0, -26, -115
"c:\Users\dwh88\Perforce\dengw3_Liyuu_1160\GSAS-2540-01-F24\users\dengw3\dengw3_2DplatformGame\BuddahGo\Assets\Adobe\Substance3DForUnity\Editor\Scripts\Project Settings Editor\Extensions.cs", "C#", 0, -25, 0, 0, 0, 0, 0, -1, -3, -29
"c:\Users\dwh88\Perforce\dengw3_Liyuu_1160\GSAS-2540-01-F24\users\dengw3\dengw3_2DplatformGame\BuddahGo\Assets\Adobe\Substance3DForUnity\Editor\Scripts\Project Settings Editor\SubstanceEditorSettingsProvider.cs", "C#", 0, -218, 0, 0, 0, 0, 0, -3, -59, -280
"c:\Users\dwh88\Perforce\dengw3_Liyuu_1160\GSAS-2540-01-F24\users\dengw3\dengw3_2DplatformGame\BuddahGo\Assets\Adobe\Substance3DForUnity\Editor\Scripts\Project Settings Editor\SubstanceEditorSettingsSO.cs", "C#", 0, -62, 0, 0, 0, 0, 0, -3, -14, -79
"c:\Users\dwh88\Perforce\dengw3_Liyuu_1160\GSAS-2540-01-F24\users\dengw3\dengw3_2DplatformGame\BuddahGo\Assets\Adobe\Substance3DForUnity\Editor\Scripts\PropertyDrawers\SubstanceInputDrawer.cs", "C#", 0, -48, 0, 0, 0, 0, 0, 0, -13, -61
"c:\Users\dwh88\Perforce\dengw3_Liyuu_1160\GSAS-2540-01-F24\users\dengw3\dengw3_2DplatformGame\BuddahGo\Assets\Adobe\Substance3DForUnity\Editor\Scripts\PropertyDrawers\SubstanceInputDrawerFloat.cs", "C#", 0, -53, 0, 0, 0, 0, 0, 0, -14, -67
"c:\Users\dwh88\Perforce\dengw3_Liyuu_1160\GSAS-2540-01-F24\users\dengw3\dengw3_2DplatformGame\BuddahGo\Assets\Adobe\Substance3DForUnity\Editor\Scripts\PropertyDrawers\SubstanceInputDrawerFloat2.cs", "C#", 0, -35, 0, 0, 0, 0, 0, 0, -8, -43
"c:\Users\dwh88\Perforce\dengw3_Liyuu_1160\GSAS-2540-01-F24\users\dengw3\dengw3_2DplatformGame\BuddahGo\Assets\Adobe\Substance3DForUnity\Editor\Scripts\PropertyDrawers\SubstanceInputDrawerFloat3.cs", "C#", 0, -51, 0, 0, 0, 0, 0, -7, -12, -70
"c:\Users\dwh88\Perforce\dengw3_Liyuu_1160\GSAS-2540-01-F24\users\dengw3\dengw3_2DplatformGame\BuddahGo\Assets\Adobe\Substance3DForUnity\Editor\Scripts\PropertyDrawers\SubstanceInputDrawerFloat4.cs", "C#", 0, -49, 0, 0, 0, 0, 0, -7, -12, -68
"c:\Users\dwh88\Perforce\dengw3_Liyuu_1160\GSAS-2540-01-F24\users\dengw3\dengw3_2DplatformGame\BuddahGo\Assets\Adobe\Substance3DForUnity\Editor\Scripts\PropertyDrawers\SubstanceInputDrawerInt.cs", "C#", 0, -137, 0, 0, 0, 0, 0, -45, -38, -220
"c:\Users\dwh88\Perforce\dengw3_Liyuu_1160\GSAS-2540-01-F24\users\dengw3\dengw3_2DplatformGame\BuddahGo\Assets\Adobe\Substance3DForUnity\Editor\Scripts\PropertyDrawers\SubstanceInputDrawerInt2.cs", "C#", 0, -81, 0, 0, 0, 0, 0, 0, -14, -95
"c:\Users\dwh88\Perforce\dengw3_Liyuu_1160\GSAS-2540-01-F24\users\dengw3\dengw3_2DplatformGame\BuddahGo\Assets\Adobe\Substance3DForUnity\Editor\Scripts\PropertyDrawers\SubstanceInputDrawerInt3.cs", "C#", 0, -34, 0, 0, 0, 0, 0, 0, -7, -41
"c:\Users\dwh88\Perforce\dengw3_Liyuu_1160\GSAS-2540-01-F24\users\dengw3\dengw3_2DplatformGame\BuddahGo\Assets\Adobe\Substance3DForUnity\Editor\Scripts\PropertyDrawers\SubstanceInputDrawerInt4.cs", "C#", 0, -170, 0, 0, 0, 0, 0, -1, -40, -211
"c:\Users\dwh88\Perforce\dengw3_Liyuu_1160\GSAS-2540-01-F24\users\dengw3\dengw3_2DplatformGame\BuddahGo\Assets\Adobe\Substance3DForUnity\Editor\Scripts\PropertyDrawers\SubstanceInputDrawerString.cs", "C#", 0, -30, 0, 0, 0, 0, 0, 0, -5, -35
"c:\Users\dwh88\Perforce\dengw3_Liyuu_1160\GSAS-2540-01-F24\users\dengw3\dengw3_2DplatformGame\BuddahGo\Assets\Adobe\Substance3DForUnity\Editor\Scripts\PropertyDrawers\SubstanceInputDrawerTexture.cs", "C#", 0, -53, 0, 0, 0, 0, 0, 0, -8, -61
"c:\Users\dwh88\Perforce\dengw3_Liyuu_1160\GSAS-2540-01-F24\users\dengw3\dengw3_2DplatformGame\BuddahGo\Assets\Adobe\Substance3DForUnity\Editor\Scripts\SubstanceEditorEngine.cs", "C#", 0, -657, 0, 0, 0, 0, 0, -79, -172, -908
"c:\Users\dwh88\Perforce\dengw3_Liyuu_1160\GSAS-2540-01-F24\users\dengw3\dengw3_2DplatformGame\BuddahGo\Assets\Adobe\Substance3DForUnity\Editor\Scripts\SubstanceFileEditor.cs", "C#", 0, -159, 0, 0, 0, 0, 0, -6, -33, -198
"c:\Users\dwh88\Perforce\dengw3_Liyuu_1160\GSAS-2540-01-F24\users\dengw3\dengw3_2DplatformGame\BuddahGo\Assets\Adobe\Substance3DForUnity\Editor\Scripts\SubstanceGraphSOEditor.cs", "C#", 0, -1185, 0, 0, 0, 0, 0, -37, -338, -1560
"c:\Users\dwh88\Perforce\dengw3_Liyuu_1160\GSAS-2540-01-F24\users\dengw3\dengw3_2DplatformGame\BuddahGo\Assets\Adobe\Substance3DForUnity\Editor\Scripts\Utilities\AssetCreationUtils.cs", "C#", 0, -48, 0, 0, 0, 0, 0, -12, -11, -71
"c:\Users\dwh88\Perforce\dengw3_Liyuu_1160\GSAS-2540-01-F24\users\dengw3\dengw3_2DplatformGame\BuddahGo\Assets\Adobe\Substance3DForUnity\Editor\Scripts\Utilities\EditorDrawUtilities.cs", "C#", 0, -64, 0, 0, 0, 0, 0, -3, -12, -79
